"objectid";"code";"typ";"katnam";"desk1";"desk3";"deskn1";"aend";"shape"
221020;"1";"LFT";0;"NO2";"2011";12.88;2013-06-25;"SRID=4326;POLYGON((13.9365405284981864753 51.01410890625921012997,13.95078209899785903758 51.01387185255995859734,13.95115926879616097267 51.02285550829404314754,13.93691502101568246985 51.02309262417641377851,13.9365405284981864753 51.01410890625921012997))"
220092;"1";"LFT";0;"NO2";"2011";25.91;2013-06-25;"SRID=4326;POLYGON((13.72489758562925921126 51.07136496568781325323,13.73915840660363585357 51.07115346231091024265,13.7394954776774671501 51.08013812685420873549,13.7252318833963879996 51.08034963139647999242,13.72489758562925921126 51.07136496568781325323))"
220093;"1";"LFT";0;"NO2";"2011";26.97;2013-06-25;"SRID=4326;POLYGON((13.73915840660363585357 51.07115346231091024265,13.75341905577734458177 51.07094040610311935779,13.75375898511839878324 51.07992498529836922216,13.7394954776774671501 51.08013812685420873549,13.73915840660363585357 51.07115346231091024265))"
220094;"1";"LFT";0;"NO2";"2011";24.29;2013-06-25;"SRID=4326;POLYGON((13.75341905577734458177 51.07094040610311935779,13.7676797105740611471 51.07072546537393975541,13.7680223819838136734 51.0797100293623245193,13.75375898511839878324 51.07992498529836922216,13.75341905577734458177 51.07094040610311935779))"
220095;"1";"LFT";0;"NO2";"2011";19.73;2013-06-25;"SRID=4326;POLYGON((13.7676797105740611471 51.07072546537393975541,13.78194005494330909301 51.07050876723425147929,13.78228544251199316761 51.07949320998255160475,13.7680223819838136734 51.0797100293623245193,13.7676797105740611471 51.07072546537393975541))"
220546;"1";"LFT";0;"NO2";"2011";14.92;2013-06-25;"SRID=4326;POLYGON((13.8839472509531880462 51.12284619123872886348,13.89822249750497995535 51.1226152054969134042,13.89859118989204667116 51.13159894882488742951,13.88431301322869160231 51.13183004136922704674,13.8839472509531880462 51.12284619123872886348))"
220537;"1";"LFT";0;"NO2";"2011";20.68;2013-06-25;"SRID=4326;POLYGON((13.75546068819982714615 51.12484710790239716971,13.76973790853862311678 51.12463172751640172464,13.77008147428556306124 51.13361604701518814409,13.75580168159688376761 51.13383162095518486012,13.75546068819982714615 51.12484710790239716971))"
220538;"1";"LFT";0;"NO2";"2011";19.04;2013-06-25;"SRID=4326;POLYGON((13.76973790853862311678 51.12463172751640172464,13.7840147229957210584 51.12441459261162179928,13.78436102383915695668 51.13339877010295708715,13.77008147428556306124 51.13361604701518814409,13.76973790853862311678 51.12463172751640172464))"
220539;"1";"LFT";0;"NO2";"2011";19.67;2013-06-25;"SRID=4326;POLYGON((13.7840147229957210584 51.12441459261162179928,13.79829131468969016794 51.1241956953364891092,13.79864041417541109524 51.13317991797655537312,13.78436102383915695668 51.13339877010295708715,13.7840147229957210584 51.12441459261162179928))"
220540;"1";"LFT";0;"NO2";"2011";20.29;2013-06-25;"SRID=4326;POLYGON((13.79829131468969016794 51.1241956953364891092,13.81256772379537522966 51.12397508475081764345,13.81291962213473212273 51.13295928543460888704,13.79864041417541109524 51.13317991797655537312,13.79829131468969016794 51.1241956953364891092))"
220541;"1";"LFT";0;"NO2";"2011";19.57;2013-06-25;"SRID=4326;POLYGON((13.81256772379537522966 51.12397508475081764345,13.82684392917498072961 51.12375269417255907456,13.8271986473251971006 51.1327368869376357452,13.81291962213473212273 51.13295928543460888704,13.81256772379537522966 51.12397508475081764345))"
220543;"1";"LFT";0;"NO2";"2011";19.19;2013-06-25;"SRID=4326;POLYGON((13.84112007159427903957 51.12352872202057341156,13.85539603522660456747 51.12330300442467034827,13.85575625840460567417 51.13228694812286079241,13.84147741799521824646 51.1325127335412901175,13.84112007159427903957 51.12352872202057341156))"
220544;"1";"LFT";0;"NO2";"2011";16.68;2013-06-25;"SRID=4326;POLYGON((13.85539603522660456747 51.12330300442467034827,13.86967174275362424396 51.12307548945305768484,13.87003473804949571502 51.13205937183121108092,13.85575625840460567417 51.13228694812286079241,13.85539603522660456747 51.12330300442467034827))"
220545;"1";"LFT";0;"NO2";"2011";15.04;2013-06-25;"SRID=4326;POLYGON((13.86967174275362424396 51.12307548945305768484,13.8839472509531880462 51.12284619123872886348,13.88431301322869160231 51.13183004136922704674,13.87003473804949571502 51.13205937183121108092,13.86967174275362424396 51.12307548945305768484))"
220998;"1";"LFT";0;"NO2";"2011";20.13;2013-06-25;"SRID=4326;POLYGON((13.69440621310142702782 51.01787347926983784419,13.70865076445064723032 51.01766593119413784052,13.70898110372780465127 51.02665072427877390737,13.69473384550131456194 51.02685833577786667092,13.69440621310142702782 51.01787347926983784419))"
220999;"1";"LFT";0;"NO2";"2011";19.33;2013-06-25;"SRID=4326;POLYGON((13.70865076445064723032 51.01766593119413784052,13.72289523526525201191 51.01745665011363684016,13.72322847129948364397 51.02644141907954633552,13.70898110372780465127 51.02665072427877390737,13.70865076445064723032 51.01766593119413784052))"
221005;"1";"LFT";0;"NO2";"2011";21.23;2013-06-25;"SRID=4326;POLYGON((13.72289523526525201191 51.01745665011363684016,13.73713934125972357947 51.01724560511805606211,13.73747550453004606652 51.02623032452863327535,13.72322847129948364397 51.02644141907954633552,13.72289523526525201191 51.01745665011363684016))"
221006;"1";"LFT";0;"NO2";"2011";19.29;2013-06-25;"SRID=4326;POLYGON((13.73713934125972357947 51.01724560511805606211,13.7513834833219004139 51.0170328393055214633,13.75172248673937147601 51.0260175094343040314,13.73747550453004606652 51.02623032452863327535,13.73713934125972357947 51.01724560511805606211))"
221007;"1";"LFT";0;"NO2";"2011";21.66;2013-06-25;"SRID=4326;POLYGON((13.7513834833219004139 51.0170328393055214633,13.76562739549708425102 51.01681832917992664989,13.7659691273836184422 51.02580290780696969932,13.75172248673937147601 51.0260175094343040314,13.7513834833219004139 51.0170328393055214633))"
221008;"1";"LFT";0;"NO2";"2011";22.16;2013-06-25;"SRID=4326;POLYGON((13.76562739549708425102 51.01681832917992664989,13.77987124638057814252 51.01660206130833330462,13.78021567237383848692 51.02558654842850671685,13.7659691273836184422 51.02580290780696969932,13.76562739549708425102 51.01681832917992664989))"
221009;"1";"LFT";0;"NO2";"2011";20.9;2013-06-25;"SRID=4326;POLYGON((13.77987124638057814252 51.01660206130833330462,13.79411500839654003414 51.01638405432370149128,13.79446212422947226628 51.02536844395996951107,13.78021567237383848692 51.02558654842850671685,13.77987124638057814252 51.01660206130833330462))"
221010;"1";"LFT";0;"NO2";"2011";21.23;2013-06-25;"SRID=4326;POLYGON((13.79411500839654003414 51.01638405432370149128,13.80835845088094870903 51.01616440843450561715,13.80870820732592463287 51.02514877778736490654,13.79446212422947226628 51.02536844395996951107,13.79411500839654003414 51.01638405432370149128))"
220996;"1";"LFT";0;"NO2";"2011";17.07;2013-06-25;"SRID=4326;POLYGON((13.66591675601499034087 51.0182834783744709739,13.68016157032973367791 51.01807932565224490418,13.68048667396702100518 51.02706419579484986571,13.66623908003645482268 51.0272684532174736205,13.66591675601499034087 51.0182834783744709739))"
220997;"1";"LFT";0;"NO2";"2011";24.02;2013-06-25;"SRID=4326;POLYGON((13.68016157032973367791 51.01807932565224490418,13.69440621310142702782 51.01787347926983784419,13.69473384550131456194 51.02685833577786667092,13.68048667396702100518 51.02706419579484986571,13.68016157032973367791 51.01807932565224490418))"
221012;"1";"LFT";0;"NO2";"2011";18.04;2013-06-25;"SRID=4326;POLYGON((13.82260152772028050094 51.01594297851682568989,13.83684457636226916577 51.01571972400807908343,13.83719993512447210549 51.02470385567649202585,13.82295413380525239688 51.02492723204577629303,13.82260152772028050094 51.01594297851682568989))"
220567;"1";"LFT";0;"NO2";"2011";16.22;2013-06-25;"SRID=4326;POLYGON((13.71296117697657557244 51.13446741627843294964,13.72724148012624212356 51.13425722280776852813,13.72757705706575492854 51.1432416937666758372,13.71329396381025489404 51.1434519779533971473,13.71296117697657557244 51.13446741627843294964))"
220122;"1";"LFT";0;"NO2";"2011";17.29;2013-06-25;"SRID=4326;POLYGON((13.69802117554885256823 51.1167063779167847315,13.71229606042883908401 51.1164981488640819407,13.71262848435875625341 51.12548280953833312878,13.69835085048950595876 51.12569113449809066196,13.69802117554885256823 51.1167063779167847315))"
220123;"1";"LFT";0;"NO2";"2011";18.3;2013-06-25;"SRID=4326;POLYGON((13.71229606042883908401 51.1164981488640819407,13.72657093481904411192 51.11628813563255846475,13.72690603446491763862 51.12527270984397631537,13.71262848435875625341 51.12548280953833312878,13.71229606042883908401 51.1164981488640819407))"
220125;"1";"LFT";0;"NO2";"2011";26.94;2013-06-25;"SRID=4326;POLYGON((13.74084559020094786774 51.11607622897759739544,13.75511999939102381063 51.11586269129006154799,13.75546068819982714615 51.12484710790239716971,13.7411834771959782131 51.12506075696552443333,13.74084559020094786774 51.11607622897759739544))"
220568;"1";"LFT";0;"NO2";"2011";17.25;2013-06-25;"SRID=4326;POLYGON((13.72724148012624212356 51.13425722280776852813,13.74152166866797486477 51.13404527894206808014,13.74185987530404950974 51.14302961193669005979,13.72757705706575492854 51.1432416937666758372,13.72724148012624212356 51.13425722280776852813))"
220569;"1";"LFT";0;"NO2";"2011";23.1;2013-06-25;"SRID=4326;POLYGON((13.74152166866797486477 51.13404527894206808014,13.75580168159688376761 51.13383162095518486012,13.75614261319829090269 51.14281588122707944422,13.74185987530404950974 51.14302961193669005979,13.74152166866797486477 51.13404527894206808014))"
220570;"1";"LFT";0;"NO2";"2011";20.41;2013-06-25;"SRID=4326;POLYGON((13.75580168159688376761 51.13383162095518486012,13.77008147428556306124 51.13361604701518814409,13.77042518357847633581 51.14260034248897568432,13.75614261319829090269 51.14281588122707944422,13.75580168159688376761 51.13383162095518486012))"
220571;"1";"LFT";0;"NO2";"2011";18.92;2013-06-25;"SRID=4326;POLYGON((13.77008147428556306124 51.13361604701518814409,13.78436102383915695668 51.13339877010295708715,13.784707603637208706 51.1423831011874128194,13.77042518357847633581 51.14260034248897568432,13.77008147428556306124 51.13361604701518814409))"
220572;"1";"LFT";0;"NO2";"2011";18.03;2013-06-25;"SRID=4326;POLYGON((13.78436102383915695668 51.13339877010295708715,13.79864041417541109524 51.13317991797655537312,13.79898979108622114609 51.14216413495959301372,13.784707603637208706 51.1423831011874128194,13.78436102383915695668 51.13339877010295708715))"
220573;"1";"LFT";0;"NO2";"2011";16.78;2013-06-25;"SRID=4326;POLYGON((13.79864041417541109524 51.13317991797655537312,13.81291962213473212273 51.13295928543460888704,13.81327177407184692015 51.14194351792585280236,13.79898979108622114609 51.14216413495959301372,13.79864041417541109524 51.13317991797655537312))"
220574;"1";"LFT";0;"NO2";"2011";16.11;2013-06-25;"SRID=4326;POLYGON((13.81291962213473212273 51.13295928543460888704,13.8271986473251971006 51.1327368869376357452,13.82755352291886374871 51.14172107091821573022,13.81327177407184692015 51.14194351792585280236,13.81291962213473212273 51.13295928543460888704))"
220575;"1";"LFT";0;"NO2";"2011";15.69;2013-06-25;"SRID=4326;POLYGON((13.8271986473251971006 51.1327368869376357452,13.84147741799521824646 51.1325127335412901175,13.84183510842814435193 51.14149681811372971652,13.82755352291886374871 51.14172107091821573022,13.8271986473251971006 51.1327368869376357452))"
221028;"1";"LFT";0;"NO2";"2011";13.63;2013-06-25;"SRID=4326;POLYGON((13.87993616631277937756 51.02402364938014756035,13.8941811444232463657 51.02379354516676102094,13.89454755417694897801 51.03277746244277324195,13.88029982461666733684 51.03300766558631096359,13.87993616631277937756 51.02402364938014756035))"
221029;"1";"LFT";0;"NO2";"2011";13.48;2013-06-25;"SRID=4326;POLYGON((13.8941811444232463657 51.02379354516676102094,13.90842586296555616343 51.02356168765660271447,13.9087950623062486244 51.03254551390158866297,13.89454755417694897801 51.03277746244277324195,13.8941811444232463657 51.02379354516676102094))"
