"id_immi";"jahr";"strname";"von_krz";"bis_krz";"no2_i1";"pm10_ist";"aend";"kattime";"laenge";"sta_id";"eskn_id";"shape"
17164;2013;"Gamigstraße ";"Niedersedlitzer Straße ";"Trattendorfer Straße";20.5;22.7;2015-11-16 11:17:24;8647;150.26813;"10148020";8647;"SRID=4326;LINESTRING(13.79854182296278963804 51.01176111340434715657,13.79850229472357270311 51.01164959972376067299,13.79833626915735855789 51.01118048661491144458,13.79817380157870232438 51.01076080778825883044,13.79807386908544764026 51.01044277125089365654)"
12632;2013;"Hermann-Reichelt-Straße ";"Wilhelmine-Reichard-Ring (M) ";"Wilhelmine-Reichard-Ring (O)";24.1;21.3;2015-11-16 11:17:24;3001;179.33672;"05219070";3001;"SRID=4326;LINESTRING(13.76748697550038436077 51.12272967128242839863,13.76748865795017273683 51.12273088505203588738,13.76786163841841847955 51.12299914873592854292,13.76815915434321446753 51.12325200301126670865,13.76907333756045659356 51.12399515052835852202)"
630;2013;"Königsbrücker Straße ";"Charlotte-Bühler-Str. ";"Else-Sander-Str.";29.4;23.5;2015-11-16 11:17:24;3455;146.3871;"06001190";3455;"SRID=4326;LINESTRING(13.76047243070466663539 51.08216078917910607515,13.76090657600919975323 51.08277826123391918145,13.76131214154024995366 51.08336608518121835232)"
634;2013;"Königsbrücker Straße ";"Meschwitzstr. ";"Melitta-Benz-Str.";31.9;24.2;2015-11-16 11:17:24;3459;155.22934;"06001210";3459;"SRID=4326;LINESTRING(13.76249097214700078951 51.08505535216728787873,13.76286323559209989753 51.0856828537958023162,13.76312167096831551305 51.08611537279729475358,13.76326384925539692006 51.08636344184872513097)"
633;2013;"Königsbrücker Straße ";"Melitta-Bentz-Str. ";"Hermann-Mende-Str.";27.7;23.1;2015-11-16 11:17:24;3462;94.59425;"06001215";3462;"SRID=4326;LINESTRING(13.76326384925539692006 51.08636344184872513097,13.76343837179543605487 51.08666337264153156639,13.76354173305723627152 51.08684760444761252529,13.76364937489201878407 51.08703305049087362022,13.76371912106447581436 51.08715319458846693124,13.76372475905025538623 51.08716291248617835663)"
20746;2013;"Georg-Palitzsch-Straße ";"Abzweig/HN 37 ";"ÖFW 35-Prohlis";23.6;22.7;2015-11-16 11:17:24;8607;71.29726;"10145050";8607;"SRID=4326;LINESTRING(13.793553837062331624 51.00366738779631248235,13.79373463148365352993 51.00346533153111039383,13.79394264551811488673 51.00330456365181674983,13.79417813968340311703 51.00316844982489072891)"
782;2013;"Radeberger Landstraße ";"ÖW ";"ÖW";18;19;2015-11-16 11:17:24;4057;45.38544;"06161040";4057;"SRID=4326;LINESTRING(13.88871629645331040592 51.11325396487016803349,13.88903552695401266703 51.11326122502013902249,13.88936377975088376502 51.11327413646767325872)"
2428;2013;"Dresdner Straße";"Bodemer Weg ";"Hoher Steig";17.8;19.3;2015-11-16 11:17:24;4977;191.65112;"07120160";4977;"SRID=4326;LINESTRING(13.86987913890602186484 51.01404709440498663753,13.86995196853544776161 51.01395432184720135638,13.8700420144843548087 51.01383247102732099165,13.8700826648555821663 51.01378615624026480191,13.87013387845254008823 51.01374513605768612479,13.87027587331159139694 51.01366964371447210169,13.8706038724913476301 51.01351431503245237309,13.87078649468386970511 51.01342721923499823333,13.87104313718827341972 51.01331145880018880234,13.8711415636388615269 51.01326055979874496416,13.87126233541993514109 51.01320456991582830142,13.87149318897272998186 51.01309899824038751603,13.87174987646073098801 51.01298158830505258265,13.87188668993210782787 51.0129197913327558922)"
12149;2013;"Fritz-Meinhardt-Straße ";"Am Kirschfeld ";"Kauschaer Str./Zur Eiche";17.8;19.2;2015-11-16 11:17:24;10043;50.96275;"11158060";10043;"SRID=4326;LINESTRING(13.77886900875973807956 50.99372156541302558708,13.77853790825471413939 50.99363756310862072496,13.77819295015227929468 50.99355440414394280424)"
12148;2013;"Fritz-Meinhardt-Straße ";"Neuer Weg/OD-Ende ";"Stadtgrenze";19.3;19.2;2015-11-16 11:17:24;10045;510.46833;"11158080";10045;"SRID=4326;LINESTRING(13.77590237834332143052 50.99296633324741634397,13.77536277649203810824 50.99281993813146129924,13.77407096141434372782 50.99248672528418069305,13.77318281717595205293 50.99225264068458329803,13.77255454337574214208 50.99206789959536223478,13.77066550735215244572 50.99147531061669269548,13.77008719606441111694 50.9912836088096810272,13.77003787000087875469 50.99126726187669333967,13.77001556048981001368 50.99126061500489726086,13.76992424462565089982 50.99123339407480415275,13.76985136413961186008 50.99121168204304410665,13.76930009187421610761 50.99104738376276202416)"
