"objectid";"code";"typ";"katnam";"desk1";"desk3";"deskn1";"aend";"shape"
233422;"1";"LFT";0;"PM10";"2013";18.12;2016-01-29 10:10:40;"SRID=4326;POLYGON((13.88029982031742548543 51.03300766644438368758,13.8945475540913800927 51.03277746603909292844,13.89491422378185703224 51.04176137798193479966,13.88066371860430869845 51.04199167718577001551,13.88029982031742548543 51.03300766644438368758))"
233423;"1";"LFT";0;"PM10";"2013";18.04;2016-01-29 10:10:40;"SRID=4326;POLYGON((13.8945475540913800927 51.03277746603909292844,13.9087950593700693247 51.03254551747129141859,13.90916444325376843949 51.04152932952621313234,13.89491422378185703224 51.04176137798193479966,13.8945475540913800927 51.03277746603909292844))"
233424;"1";"LFT";0;"PM10";"2013";17.96;2016-01-29 10:10:40;"SRID=4326;POLYGON((13.9087950593700693247 51.03254551747129141859,13.92304243537633645644 51.03231178577537718866,13.9234145901435315551 51.04129550691561689746,13.90916444325376843949 51.04152932952621313234,13.9087950593700693247 51.03254551747129141859))"
233425;"1";"LFT";0;"PM10";"2013";17.91;2016-01-29 10:10:40;"SRID=4326;POLYGON((13.92304243537633645644 51.03231178577537718866,13.93728965193357005603 51.03207627972420112883,13.93766456358655325687 51.04105989128150611123,13.9234145901435315551 51.04129550691561689746,13.92304243537633645644 51.03231178577537718866))"
233426;"1";"LFT";0;"PM10";"2013";17.86;2016-01-29 10:10:40;"SRID=4326;POLYGON((13.93728965193357005603 51.03207627972420112883,13.95153664914191260493 51.03183906179496887034,13.95191427452322407987 51.04082257182308524079,13.93766456358655325687 51.04105989128150611123,13.93728965193357005603 51.03207627972420112883))"
233427;"1";"LFT";0;"PM10";"2013";17.82;2016-01-29 10:10:40;"SRID=4326;POLYGON((13.95153664914191260493 51.03183906179496887034,13.96578342541396722254 51.03160014105309016941,13.96616379207976166299 51.04058358522532756751,13.95191427452322407987 51.04082257182308524079,13.95153664914191260493 51.03183906179496887034))"
233428;"1";"LFT";0;"PM10";"2013";18.4;2016-01-29 10:10:40;"SRID=4326;POLYGON((13.56710719319776359271 51.04661979110887415345,13.58136157921741826726 51.04642772007318285432,13.58166781624417396301 51.05541305792246475903,13.5674106398100491333 51.05560522439111537096,13.56710719319776359271 51.04661979110887415345))"
233429;"1";"LFT";0;"PM10";"2013";18.65;2016-01-29 10:10:40;"SRID=4326;POLYGON((13.58136157921741826726 51.04642772007318285432,13.59561575510398689914 51.04623384478752967652,13.5959247245219092548 51.05521911292594694487,13.58166781624417396301 51.05541305792246475903,13.58136157921741826726 51.04642772007318285432))"
233430;"1";"LFT";0;"PM10";"2013";19.37;2016-01-29 10:10:40;"SRID=4326;POLYGON((13.59561575510398689914 51.04623384478752967652,13.60986966099294726007 51.04603820959547988423,13.61018133439544719465 51.05502339814674428453,13.5959247245219092548 51.05521911292594694487,13.59561575510398689914 51.04623384478752967652))"
233431;"1";"LFT";0;"PM10";"2013";18.89;2016-01-29 10:10:40;"SRID=4326;POLYGON((13.60986966099294726007 51.04603820959547988423,13.62412345045895278872 51.04584087936828495913,13.62443781185941560352 51.0548260415627694897,13.61018133439544719465 51.05502339814674428453,13.60986966099294726007 51.04603820959547988423))"
233432;"1";"LFT";0;"PM10";"2013";18.82;2016-01-29 10:10:40;"SRID=4326;POLYGON((13.62412345045895278872 51.04584087936828495913,13.63837713691609465627 51.04564183633183915845,13.6386942868634228887 51.05462694582652716235,13.62443781185941560352 51.0548260415627694897,13.62412345045895278872 51.04584087936828495913))"
233433;"1";"LFT";0;"PM10";"2013";18.89;2016-01-29 10:10:40;"SRID=4326;POLYGON((13.63837713691609465627 51.04564183633183915845,13.65263067749438263832 51.04544103507753760596,13.65295060030555518438 51.05442613609663737861,13.6386942868634228887 51.05462694582652716235,13.63837713691609465627 51.04564183633183915845))"
